"idx","id","type","nobs"
"1","CSS071216:110407-045134","agn",237
"2","CSS080314:141858+144617","agn",141
"3","CSS080403:170550+265903","agn",23
"4","CSS081031:013628+311031","agn",40
"5","CSS081220:034643+142027","agn",32
"6","CSS090202:105407+010236","agn",49
"7","CSS090226:122051+345006","agn",138
"8","CSS090319:135421+284015","agn",15
"9","CSS090403:120715-023330","agn",53
"10","CSS090513:091615+204514","agn",102
"11","CSS090817:005505-024535","agn",74
"12","CSS090817:012950-065225","agn",9
"13","CSS090826:033311-070433","agn",172
"14","CSS090828:031224+130219","agn",143
"15","CSS090917:035155-082319","agn",143
"16","CSS091125:110034+160808","agn",365
"17","CSS100108:034102+093524","agn",31
"18","CSS100215:111423+294252","agn",20
"19","CSS100215:122311+233655","agn",18
"20","CSS100217:122946+355830","agn",92
"21","CSS100217:124326+360245","agn",221
"22","CSS100217:124506+273813","agn",101
"23","CSS100217:144559+200820","agn",204
"24","CSS100314:091556+270944","agn",119
"25","CSS100320:131757+452058","agn",101
"26","CSS100405:125956+032434","agn",309
"27","CSS100413:150641+241912","agn",219
"28","CSS100413:171103+380604","agn",308
"29","CSS100415:125033-021828","agn",268
"30","CSS100517:133852+320537","agn",133
"31","CSS100605:111812-041324","agn",235
"32","CSS100610:150228+205857","agn",205
"33","CSS100704:152354+275744","agn",143
"34","CSS100705:151045+133655","agn",121
"35","CSS100706:153957-074145","agn",166
"36","CSS101011:012655-022053","agn",99
"37","CSS101011:022913+032340","agn",144
"38","CSS101013:042534-073153","agn",242
"39","CSS101113:041028-180936","agn",122
"40","CSS101115:090332+225200","agn",230
"41","CSS101211:111020+234147","agn",218
"42","CSS101213:232639+370151","agn",67
"43","CSS110108:100748+354713","agn",185
"44","CSS110210:105845+182131","agn",209
"45","CSS110223:094557+065625","agn",170
"46","CSS110302:100618+174047","agn",324
"47","CSS110302:102326+165727","agn",79
"48","CSS110302:104026+200625","agn",181
"49","CSS110302:122756+224846","agn",184
"50","CSS110305:102739+284426","agn",133
"51","CSS110305:105201+332015","agn",181
"52","CSS110305:124033+281647","agn",138
"53","CSS110309:132244-161725","agn",145
"54","CSS110310:125619+344946","agn",160
"55","CSS110311:144354+202212","agn",182
"56","CSS110311:145046+165905","agn",183
"57","CSS110324:120637-030046","agn",88
"58","CSS110328:161209+341636","agn",280
"59","CSS110330:113333-042103","agn",217
"60","CSS110330:124826+321528","agn",121
"61","CSS110330:154031+152432","agn",187
"62","CSS110401:101114-161914","agn",107
"63","CSS110401:110735-011155","agn",180
